ProjectID;Status_Contrato;Gestor_Contratante;Gestor_Contratada;N_Contrato;Empresa;Regional;Sistema;Plan_Med_Mes;Nome_Projeto;Escopo;Prioridade;Motivo_Prioridade;Ano_Obra;Progresso_Projeto;Status_Projeto;Duracao;Inicio_Previsto;Termino_Previsto;Inicio_Real;Termino_Real;Valor_Previsto;Aditivo;Justificativa_Aditivo;Medido;Saldo_Contrato;Disp_Ano;ETE;EEE;INT_CT;RCE;LRE;ETA;AAB;AAT;RDA;EAB;EAT;BOOSTER;RAB;RAT;CAP_SUP;CAP_SUB;CTS_GAP;CTS_CH;Data_Atualizacao;Atualizado_Por
58;Demandas;;;;;Interior;;;SES SÃO FRANCISCO DE ITABAPOANA;Projeto executivo de Rede, Elevatórias de Esgoto e ETE, para o município de São Francisco de Itabapoana: LR =   55.680  mRC = 294.910 mLigações =  23.748 unidadesEEEs =  238  L/sETE = 53 L/sCT = 1.226 m;;;;0;Não Iniciado;;;;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
59;Demandas;;;;;Norte;;;UTR IRAJÁ;;;;;0;Não Iniciado;;;;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
60;Demandas;;;;;Norte;;;UTR RAMOS;;;;;0;Não Iniciado;;;;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
61;Demandas;;;;;;;;[AINU] PRAIA DA ROSA E SAPUCAIA;Dimensionamento de Cinturão + E.E.E. + Rede ColetoraEstimativa: • Rede coletora - Cinturão: 673,00 m• Rede coletora - Distribuição: 2.300,00 m• Linha de Recalque: 83,00m• E.E.E: 1 unidade (implantação)Planta:   RT-61-RJ-EGR-214-EP-DG-K-018-00.pdf;;;;0;Não Iniciado;;;;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
62;Demandas;;;;;;;;[AINU] PARQUE ROYAL;Dimensionamento de Cinturão + E.E.E. + Rede ColetoraEstimativa:• Rede coletora - Cinturão: 590,00 m• Rede coletora - Distribuição: 1.0000,00 m• Linha de Recalque: 170,00m• E.E.E: 1 unidade Planta:   RT-61-RJ-EGR-214-EP-DG-K-014-00.pdf;;;;0;Não Iniciado;;;;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
63;Demandas;;;;;;;;[AINU] COMPLEXO DO GUAÍBA;;;;;0;Não Iniciado;;;;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
64;Demandas;;;;;;;;[AINU]  MANDELA - MANGUINHOS;;;;;0;Não Iniciado;;;;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
65;Demandas;;;;;;;;[AINU] GREFISA;;;;;0;Não Iniciado;;;;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
66;Demandas;;;;;;;;[AINU] COLÔNIA DE PESCADORES ALMIRANTE GOMES PEREIRA;;;;;0;Não Iniciado;;;;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
67;Demandas;;;;;;;;[AINU] FURQUIM MENDES E DIQUE;;;;;0;Não Iniciado;;;;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
68;Demandas;;;;;;;;[AINU] ACARI;;;;;0;Não Iniciado;;;;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
69;Demandas;;;;;;;;[AINU] VILA EUGÊNIA;;;;;0;Não Iniciado;;;;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
70;Demandas;;;;;;;;[AINU] COMPLEXO DO CHAPADÃO;;;;;0;Não Iniciado;;;;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
71;Demandas;;;;;;;;[AINU] QUITANDA;;;;;0;Não Iniciado;;;;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
72;Demandas;;;;;;;;[AINU] COMPLEXO DO ALEMÃO;;;;;0;Não Iniciado;;;;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
73;Demandas;;;;;;;;[AINU] JACAREZINHO;;;;;0;Não Iniciado;;;;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
74;Demandas;;;;;;;;[AINU] BARREIRA DO VASCO;;;;;0;Não Iniciado;;;;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
75;Demandas;;;;;;;;[AINU] VILA ARARÁ;;;;;0;Não Iniciado;;;;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
76;Demandas;;;;;;;;[AINU] MORRO DA MINEIRA;;;;;0;Não Iniciado;;;;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
77;Demandas;;;;;;;;[AINU] MORRO DE QUEROSENE;;;;;0;Não Iniciado;;;;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
78;Demandas;;;;;;;;[AINU] ROCINHA;;;;;0;Não Iniciado;;;;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
79;Demandas;;;;;;;;[AINU] VIDIGAL;;;;;0;Não Iniciado;;;;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
80;Demandas;;;;;;;;[AINU] BABILÔNIA;;;;;0;Não Iniciado;;;;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
81;Demandas;;;;;;;;[AINU] SANTA MART;;;;;0;Não Iniciado;;;;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
82;Demandas;;;;;;;;[AINU] MATA MACHADO E TIJUAÇU;;;;;0;Não Iniciado;;;;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
83;TR em Elaboração;Felipe;;;;Baixada 2;;N/A;ETE GUANDÚ;Captação: 600 l/s Elevatória de Água Bruta: >500CV / 600 l/s Adutora de Água Bruta: 500 m Estação de Tratamento de Água: 600 l/s Elevatória de Água Tratada: >500CV / 600 l/s Adutora de Água Tratada: 40.000m Reservatório: 10.000 m³;;;;0;Em Linha;;;;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
84;Contratado;Felipe;;006/2026;SANEARES;Leste;;N/A;SAA CACERIBU;"Escopo: Elaboração do projeto executivo do Sistema de Abastecimento de Água Caceribu, nos municípios de Maricá/RJ e Itaboraí/RJ, em área sob responsabilidade da concessionária Águas do Rio S/A.
Quantitativo: 1 captação de água bruta, 1 ETA, projetos de adutoras de água bruta e tratada, boosters/elevatórias, reservatórios, setorização do SAA, além de levantamento topográfico, sondagens e estudos hidrológicos.
•	Captação: 600 l/s 
•	Elevatória de Água Bruta: >500CV / 600 l/s 
•	Adutora de Água Bruta: 500 m 
•	Estação de Tratamento de Água: 600 l/s 
•	Elevatória de Água Tratada: >500CV / 600 l/s 
•	Adutora de Água Tratada: 40.000m 
•	Reservatório: 10.000 m³";;;;0;Em Linha;210;02/02/2026;31/08/2026;10/02/2026;46265;2900000;0;;0;;;;;;;;;;;;;;;;;;;;;;
85;Contratado;Felipe;;;PROSERENCO;Centro-Sul/Comunidades;;N/A;REMANEJAMENTO JARDIM DE ALAH;;;;;0,1;Em Linha;30;04/02/2026;04/03/2026;04/02/2026;46085;0;0;;0;;;;;;;;;;;;;;;;;;;;;;
